"playerID","yearID","lgID"
"cirilje01",1997,"AL"
"cirilje01",2000,"NL"
"clancji01",1982,"AL"
"clarkja01",1978,"NL"
"clarkja01",1979,"NL"
"clarkja01",1985,"NL"
"clarkja01",1987,"NL"
"clarkto02",2001,"AL"
"clarkwi02",1988,"NL"
"clarkwi02",1989,"NL"
"clarkwi02",1990,"NL"
"clarkwi02",1991,"NL"
"clarkwi02",1992,"NL"
"clarkwi02",1994,"AL"
"claytro01",1997,"NL"
"clearma01",1979,"AL"
"clearma01",1982,"AL"
"clemema01",2005,"AL"
"clemero01",1960,"NL"
"clemero01",1961,"NL"
"clemero01",1962,"NL"
"clemero01",1963,"NL"
"clemero01",1964,"NL"
"clemero01",1965,"NL"
"clemero01",1966,"NL"
"clemero01",1967,"NL"
"clemero01",1969,"NL"
"clemero01",1970,"NL"
"clemero01",1971,"NL"
"clemero01",1972,"NL"
"clemero02",1986,"AL"
"clemero02",1988,"AL"
"clemero02",1990,"AL"
"clemero02",1991,"AL"
"clemero02",1992,"AL"
"clemero02",1997,"AL"
"clemero02",1998,"AL"
"clemero02",2001,"AL"
"clemero02",2003,"AL"
"clemero02",2004,"NL"
"clemero02",2005,"NL"
"cliftha01",1937,"AL"
"coateji01",1960,"AL"
"cochrmi01",1934,"AL"
"cochrmi01",1935,"AL"
"colavro01",1959,"AL"
"colavro01",1961,"AL"
"colavro01",1962,"AL"
"colavro01",1964,"AL"
"colavro01",1965,"AL"
"colavro01",1966,"AL"
"colbena01",1971,"NL"
"colbena01",1972,"NL"
"colbena01",1973,"NL"
"colboji01",1973,"AL"
"colemje01",1950,"AL"
"colemjo04",1948,"AL"
"colemjo05",1972,"AL"
"colemvi01",1988,"NL"
"colemvi01",1989,"NL"
"colliri02",1935,"NL"
"colliri02",1936,"NL"
"colliri02",1937,"NL"
"colonba01",1998,"AL"
"colonba01",2005,"AL"
"conceda01",1973,"NL"
"conceda01",1975,"NL"
"conceda01",1976,"NL"
"conceda01",1977,"NL"
"conceda01",1978,"NL"
"conceda01",1979,"NL"
"conceda01",1980,"NL"
"conceda01",1981,"NL"
"conceda01",1982,"NL"
"coneda01",1988,"NL"
"coneda01",1992,"NL"
"coneda01",1994,"AL"
"coneda01",1997,"AL"
"coneda01",1999,"AL"
"conigto01",1967,"AL"
"coninje01",1994,"NL"
"coninje01",1995,"NL"
"conlege01",1954,"NL"
"conlege01",1955,"NL"
"conlege01",1959,"NL"
"consusa01",1954,"AL"
"contrjo01",2006,"AL"
"cookaa01",2008,"NL"
"coomero01",1999,"AL"
"coopece01",1979,"AL"
"coopece01",1980,"AL"
"coopece01",1982,"AL"
"coopece01",1983,"AL"
"coopece01",1985,"AL"
"coopemo01",1942,"NL"
"coopemo01",1943,"NL"
"coopemo01",1945,"NL"
"coopemo01",1946,"NL"
"coopesc01",1993,"AL"
"coopesc01",1994,"AL"
"coopewa01",1942,"NL"
"coopewa01",1943,"NL"
"coopewa01",1944,"NL"
"coopewa01",1946,"NL"
"coopewa01",1947,"NL"
"coopewa01",1948,"NL"
"coopewa01",1949,"NL"
"coopewa01",1950,"NL"
"corajo01",1997,"AL"
"corbedo01",1981,"AL"
"cordech01",2005,"NL"
"cordefr01",2004,"AL"
"cordefr01",2007,"NL"
"cordefr01",2009,"NL"
"cordewi01",1994,"NL"
"coscape01",1940,"NL"
"cramedo01",1935,"AL"
"cramedo01",1937,"AL"
"cramedo01",1938,"AL"
"cramedo01",1939,"AL"
"cramedo01",1940,"AL"
"crandde01",1953,"NL"
"crandde01",1954,"NL"
"crandde01",1955,"NL"
"crandde01",1956,"NL"
"crandde01",1958,"NL"
"crandde01",1959,"NL"
"crandde01",1960,"NL"
"crandde01",1962,"NL"
"crawfca02",2004,"AL"
"crawfca02",2007,"AL"
"crawfca02",2009,"AL"
"crawfca02",2010,"AL"
"credejo01",2008,"AL"
"cronijo01",1933,"AL"
"cronijo01",1934,"AL"
"cronijo01",1935,"AL"
"cronijo01",1937,"AL"
"cronijo01",1938,"AL"
"cronijo01",1939,"AL"
"cronijo01",1941,"AL"
"crosefr01",1936,"AL"
"crosefr01",1939,"AL"
"crowdal01",1933,"AL"
"crowege01",1958,"NL"
"cruzjo01",1980,"NL"
"cruzjo01",1985,"NL"
"cruzne02",2009,"AL"
"cuccito01",1933,"NL"
"cuccito01",1938,"NL"
"cuccito01",1945,"AL"
"cuellmi01",1967,"NL"
"cuellmi01",1970,"AL"
"cuellmi01",1971,"AL"
"cuellmi01",1974,"AL"
"cullero01",1941,"AL"
"cullero01",1944,"AL"
"culpra01",1963,"NL"
"culpra01",1969,"AL"
"cunnijo01",1959,"NL"
"cuyleki01",1934,"NL"
"dahlgba01",1943,"NL"
"daleybu01",1959,"AL"
"daleybu01",1960,"AL"
"damonjo01",2002,"AL"
"damonjo01",2005,"AL"
"danniha01",1938,"NL"
"danniha01",1939,"NL"
"danniha01",1940,"NL"
"danniha01",1941,"NL"
"darkal01",1951,"NL"
"darkal01",1952,"NL"
"darkal01",1954,"NL"
"darliro01",1985,"NL"
"daultda01",1992,"NL"
"daultda01",1993,"NL"
"daultda01",1995,"NL"
"davalvi01",1965,"AL"
"davenji01",1962,"NL"
"davisal01",1984,"AL"
"davisch01",1984,"NL"
"davisch01",1986,"NL"
"davisch01",1994,"AL"
"daviscu01",1936,"NL"
"daviscu01",1939,"NL"
"daviser01",1987,"NL"
"daviser01",1989,"NL"
"davisgl01",1986,"NL"
"davisgl01",1989,"NL"
"davisjo02",1984,"NL"
"davisjo02",1986,"NL"
"davisma01",1988,"NL"
"davisma01",1989,"NL"
"davisro02",1981,"AL"
"davisto02",1962,"NL"
"davisto02",1963,"NL"
"daviswi02",1971,"NL"
"daviswi02",1973,"NL"
"dawlebi01",1983,"NL"
"dawsoan01",1981,"NL"
"dawsoan01",1982,"NL"
"dawsoan01",1983,"NL"
"dawsoan01",1987,"NL"
"dawsoan01",1988,"NL"
"dawsoan01",1989,"NL"
"dawsoan01",1990,"NL"
"dawsoan01",1991,"NL"
"deandi01",1934,"NL"
"deandi01",1935,"NL"
"deandi01",1936,"NL"
"deandi01",1937,"NL"
"decindo01",1983,"AL"
"delgaca01",2000,"AL"
"delgaca01",2003,"AL"
"demaejo01",1957,"AL"
"demarfr02",1936,"NL"
"demarfr02",1937,"NL"
"dempsry01",2000,"NL"
"dempsry01",2008,"NL"
"dentbu01",1975,"AL"
"dentbu01",1980,"AL"
"dentbu01",1981,"AL"
"derripa01",1935,"NL"
"derripa01",1938,"NL"
"derripa01",1939,"NL"
"derripa01",1940,"NL"
"derripa01",1941,"NL"
"derripa01",1942,"NL"
"diazbo01",1981,"AL"
"diazbo01",1987,"NL"
"dibblro01",1990,"NL"
"dibblro01",1991,"NL"
"dickebi01",1933,"AL"
"dickebi01",1934,"AL"
"dickebi01",1936,"AL"
"dickebi01",1937,"AL"
"dickebi01",1938,"AL"
"dickebi01",1939,"AL"
"dickebi01",1940,"AL"
"dickebi01",1941,"AL"
"dickebi01",1942,"AL"
"dickebi01",1943,"AL"
"dickebi01",1946,"AL"
"dicksja01",1997,"AL"
"dicksmu01",1953,"NL"
"dierkla01",1969,"NL"
"dierkla01",1971,"NL"
"dietzdi01",1970,"NL"
"dillibo01",1949,"AL"
"dimagdo01",1941,"AL"
"dimagdo01",1942,"AL"
"dimagdo01",1946,"AL"
